,supply,demand
2013-01-01,133.67445558286792,163.7788299310232
2013-01-02,131.79402643410333,152.04515144422624
2013-01-03,134.06315900750292,164.6760536917349
2013-01-04,165.0192768134969,177.86123525368473
2013-01-05,159.17634409711934,162.47682356593236
2013-01-06,167.34470300706747,164.20943875544333
2013-01-07,153.85816974608974,172.732645727189
2013-01-08,155.26605811384638,151.67049192706048
2013-01-09,170.54588257039094,151.5132393193145
2013-01-10,170.09720432089048,163.4549655613054
2013-01-11,168.46964448877577,157.4854696743038
2013-01-12,155.2322559363463,156.98030738892393
2013-01-13,154.31813475079298,168.88373313813815
2013-01-14,162.28574542442468,146.62946307266304
2013-01-15,158.8243736962066,159.17978859007206
2013-01-16,174.0462626632751,164.71542693112175
2013-01-17,170.95867808878606,137.71690930712256
2013-01-18,166.42399401052663,160.56135426281597
2013-01-19,161.0341104267868,182.17584481925726
2013-01-20,177.38191991736323,175.90696254344329
2013-01-21,186.7067912963146,168.10800029864873
2013-01-22,158.6128430183808,182.20901200621233
2013-01-23,196.3442025793715,155.87283684832028
2013-01-24,185.7583116017517,165.19515659123937
2013-01-25,200.7112684421118,175.64547435619028
2013-01-26,204.72306891690465,171.69987219078797
2013-01-27,194.33948414347336,174.73353519883818
2013-01-28,186.54440623842038,174.73009730333922
2013-01-29,194.0931944006088,187.3736379576025
2013-01-30,189.54339750117026,182.74638110673928
2013-01-31,199.62133564109953,192.62824792080735
2013-02-01,178.43329931292618,195.05225969952306
2013-02-02,180.3646183420434,187.46718097608414
2013-02-03,195.12377458110907,203.01185210471263
2013-02-04,191.43073282081204,182.91555595644252
2013-02-05,215.4591495334119,205.62514517368112
2013-02-06,203.7179277376241,193.50408198795807
2013-02-07,202.06055641390665,214.5553537176712
2013-02-08,201.5352584109367,189.11929921932816
2013-02-09,217.85637357967477,211.5974198358743
2013-02-10,202.66915103384088,208.50169776972282
2013-02-11,236.91542798996926,203.17356980348833
2013-02-12,219.8976367022449,208.47516290896604
2013-02-13,233.14263635107508,206.616026081119
2013-02-14,234.76310691487564,204.2268049146866
2013-02-15,192.00104301777884,219.69906542410232
2013-02-16,235.2626206585861,231.09053399067926
2013-02-17,232.59843711752376,219.88774626142524
2013-02-18,207.46906861859748,208.7535566191911
2013-02-19,232.58275716291945,221.27507435278378
2013-02-20,211.99217001342726,224.49059464404897
2013-02-21,205.98877135271266,195.20491803405926
2013-02-22,227.63485758714504,226.19559038313696
2013-02-23,228.50931108330474,215.96234057352322
2013-02-24,220.04297483934968,225.53066900614212
2013-02-25,223.26772037105644,216.15657086404667
2013-02-26,237.26486680287292,208.17221432443012
2013-02-27,229.95388766383255,216.01525283004258
2013-02-28,230.59937140756773,222.71078583786255
2013-03-01,231.43466424476154,224.1857168506062
2013-03-02,228.58110328022218,229.90861052851469
2013-03-03,211.77547963279628,214.03663570380456
2013-03-04,224.2667374557021,228.37694836842107
2013-03-05,230.0234768118381,232.2166822506606
2013-03-06,236.64652519354743,222.61447368504756
2013-03-07,231.52768686193485,237.41881338509052
2013-03-08,226.7955865204291,244.71243544481334
2013-03-09,212.36263110080023,224.03112422129558
2013-03-10,228.82838464699506,240.99753833134747
2013-03-11,206.65641652200432,239.20452029947847
2013-03-12,223.0895722333574,233.68968330118415
2013-03-13,222.66448148107554,216.64280587092767
2013-03-14,216.75223043691236,237.88872926318518
2013-03-15,223.77120275903664,203.7987221631289
2013-03-16,217.81087587592944,219.48454733446965
2013-03-17,201.69694277666696,236.00623995776846
2013-03-18,220.96025307402732,224.51470311391978
2013-03-19,215.96080114578436,231.16723078725585
2013-03-20,210.15338606523386,211.31670604090644
2013-03-21,208.18026321925632,236.74029888607834
2013-03-22,210.6989607573696,225.5415992718054
2013-03-23,207.50856595280695,224.82622232628316
2013-03-24,198.88816136586152,222.28062727340816
2013-03-25,225.88383156662715,228.51783802811286
2013-03-26,194.53853944986264,222.39877271556915
2013-03-27,216.76415075032367,221.82356814051607
2013-03-28,208.83142149030945,221.22697433277577
2013-03-29,191.2150733233385,212.1770553805757
2013-03-30,198.7387246482014,213.2305210083974
2013-03-31,209.47731998457655,211.77666117008158
2013-04-01,201.5943885774945,229.11558658830285
2013-04-02,205.98197208060702,223.8058743057263
2013-04-03,178.19358880442593,232.74198028556472
2013-04-04,192.3147513880703,206.34682347270208
2013-04-05,199.9528887651351,237.25475539688483
2013-04-06,200.51668965212716,226.12475924056986
2013-04-07,211.89701788546813,238.43804196951015
2013-04-08,197.18640172291245,226.6811780194809
2013-04-09,219.67788552118876,216.36581972368333
2013-04-10,207.66431839799026,214.36251732705657
2013-04-11,198.90561986637525,220.71985282105118
2013-04-12,224.74845925233384,226.0309214271706
2013-04-13,218.13156996855918,228.86227194695715
2013-04-14,218.55646075316844,239.7832959065391
2013-04-15,225.36916344234075,228.27806262265744
2013-04-16,217.9910414547091,239.70236650638878
2013-04-17,197.96439050728094,237.6399009093027
2013-04-18,207.43387370127553,219.91599082447482
2013-04-19,208.04102996178852,229.59235387152881
2013-04-20,239.58088728800587,231.71750673863724
2013-04-21,212.97787852204183,253.3143291691533
2013-04-22,211.90433743991554,221.29973037429048
2013-04-23,222.12689271057297,246.37955291354558
2013-04-24,219.22528443713566,250.9599577635515
2013-04-25,236.77118055366762,260.68697944759737
2013-04-26,229.1864113663847,249.83696781594048
2013-04-27,253.79890227732554,270.67243319129824
2013-04-28,241.82995191162863,234.94023861677675
2013-04-29,249.34363286554924,252.139791415124
2013-04-30,241.4070713200234,243.04187869713905
2013-05-01,246.91584706525427,242.72861668954476
2013-05-02,266.4643494082819,244.76567531634348
2013-05-03,249.5196156762197,248.12274549399868
2013-05-04,258.7603317413257,250.48881891016237
2013-05-05,275.30380512485425,253.76006910855588
2013-05-06,261.3538282900271,254.32540991084238
2013-05-07,280.38132020084953,268.82903908079936
2013-05-08,278.2191851039126,266.9139156859663
2013-05-09,276.1417240591376,277.06999712423715
2013-05-10,287.84201995521954,282.3681589352377
2013-05-11,276.0214161479782,264.30886152349956
2013-05-12,301.24037831015517,278.05465043366365
2013-05-13,293.92822226291173,257.5462192329621
2013-05-14,318.5965221260377,273.5885815349749
2013-05-15,302.65553497832343,275.38655368867387
